id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2024-1013063;02/05/2024;1;Vente;104000;177;;AV VAUBAN;7085;83000;83137;Toulon;83;;;83137000CO0248;;;8;31.35;;;;;;;;;1;4;Local industriel. commercial ou assimilé;21;0;;;;;;5.928866;43.127288
2024-1013065;02/05/2024;1;Vente;510000;;;RUE JEAN DE CHAUMONT;2143;83000;83137;Toulon;83;;;83137000CP0229;;;206;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.926392;43.128505
2024-1013066;19/04/2024;1;Vente;190000;17;;BD ALPHAND;155;83200;83137;Toulon;83;;;83137000DL0228;;;12;;48;69.48;;;;;;;2;2;Appartement;68;3;;;;;;5.902313;43.131636
2024-1013066;19/04/2024;1;Vente;190000;17;;BD ALPHAND;155;83200;83137;Toulon;83;;;83137000DL0228;;;12;;48;69.48;;;;;;;2;3;Dépendance;;0;;;;;;5.902313;43.131636
2024-1013080;30/04/2024;1;Vente;1905000;34;;BD TOUCAS;6970;83000;83137;Toulon;83;;;83137000BS0257;;;;;;;;;;;;;0;1;Maison;240;7;S;sols;;;740;5.950037;43.108877
2024-1013080;30/04/2024;1;Vente;1905000;34;;BD TOUCAS;6970;83000;83137;Toulon;83;;;83137000BS0257;;;;;;;;;;;;;0;3;Dépendance;;0;S;sols;;;740;5.950037;43.108877
2024-1013082;26/04/2024;1;Vente;105000;59;;BD PAUL BERT;5600;83000;83137;Toulon;83;;;83137000CD0263;;;33;;9;;;;;;;;2;2;Appartement;57;3;;;;;;5.94234;43.118046
2024-1013082;26/04/2024;1;Vente;105000;59;;BD PAUL BERT;5600;83000;83137;Toulon;83;;;83137000CD0263;;;33;;9;;;;;;;;2;3;Dépendance;;0;;;;;;5.94234;43.118046
2024-1013084;14/05/2024;1;Vente;90000;43;;AV BIR HAKEIM;901;83200;83137;Toulon;83;;;83137000CX0466;;;59;;66;37.26;;;;;;;2;2;Appartement;38;2;;;;;;5.912342;43.130621
2024-1013086;07/05/2024;1;Vente;124000;123;;BD LAUGIER;4345;83200;83137;Toulon;83;;;83137000CW0177;;;18;;47;53.63;;;;;;;2;2;Appartement;46;3;;;;;;5.907561;43.130744
